l1neo	random	mrc
524058	5588	5106
525895	5599	5106
526017	5642	5107
526401	5644	5117
527281	5650	5135
532493	5668	5158
533182	5671	5164
533703	5674	5164
534937	5695	5180
537030	5731	5191
539592	5756	5203
539878	5781	5211
540209	5790	5211
540913	5791	5222
541286	5797	5244
541557	5857	5261
545705	5858	5273
546235	5862	5274
548831	5864	5280
549323	5881	5289
552548	5883	5336
553539	5886	5339
553716	5896	5349
553851	5907	5356
554010	5920	5369
555128	5921	5369
557139	5936	5371
558479	5941	5380
560523	5968	5386
560840	5986	5394
560879	5993	5407
561602	5998	5421
563405	6024	5426
563525	6027	5443
568364	6058	5465
568379	6066	5488
570277	6077	5492
570981	6085	5501
574720	6102	5507
577735	6125	5533
584014	6126	5572
586977	6146	5576
587683	6160	5583
590409	6176	5592
591297	6181	5609
595172	6188	5628
598428	6193	5630
604764	6196	5658
605796	6201	5676
607749	6229	5701
611272	6232	5703
615165	6238	5737
615297	6243	5775
618160	6244	5775
621784	6246	5793
622627	6247	5811
624041	6250	5816
624811	6259	5841
625210	6261	5845
625676	6262	5855
626521	6267	5859
628424	6274	5896
630051	6275	5924
631683	6285	5924
633718	6300	5939
635382	6305	5959
635758	6311	5969
636797	6325	5974
637273	6326	6016
637619	6349	6026
641376	6371	6027
641962	6381	6097
643213	6384	6099
646629	6392	6114
654655	6400	6116
660439	6411	6134
661156	6423	6135
661169	6427	6151
662599	6469	6183
662641	6475	6206
666527	6479	6207
668349	6482	6214
669501	6489	6237
675728	6492	6281
679005	6500	6291
682323	6503	6295
682971	6515	6302
683160	6521	6315
692220	6528	6329
692582	6534	6380
692826	6534	6408
693089	6539	6409
697910	6549	6417
701289	6559	6431
702747	6570	6448
705870	6607	6453
707772	6608	6472
708376	6618	6500
708934	6619	6522
710161	6635	6545
710482	6640	6546
711560	6643	6574
715802	6647	6580
717322	6657	6580
717391	6664	6586
720135	6678	6588
720382	6686	6607
721092	6718	6624
721915	6720	6634
724365	6738	6637
724746	6743	6640
728230	6746	6666
730665	6757	6667
734038	6768	6672
734919	6770	6692
742837	6779	6695
743685	6813	6708
745252	6856	6710
746354	6891	6733
749932	6897	6740
752047	6901	6744
753435	6906	6745
755077	6910	6747
755594	6916	6810
761012	6916	6816
761718	6922	6823
761943	6937	6829
767714	6957	6856
769343	6962	6868
773488	6964	6878
773523	6965	6904
774122	7046	6911
774192	7049	6913
775288	7076	6927
778243	7133	6932
778958	7144	6932
780509	7145	6950
782214	7150	6953
785138	7159	6958
785583	7159	6967
789331	7160	6972
789421	7161	6976
793106	7177	6977
795208	7183	6995
795601	7185	7002
796223	7185	7005
797277	7195	7009
800434	7203	7015
801709	7218	7023
806944	7238	7039
814128	7250	7039
815860	7255	7041
816006	7291	7048
817226	7301	7048
818425	7355	7050
818873	7357	7060
819523	7358	7067
820688	7389	7069
821240	7401	7075
822196	7406	7082
823515	7412	7106
828404	7421	7112
829946	7464	7123
832681	7503	7133
835701	7509	7151
835820	7513	7151
837298	7519	7161
837819	7528	7176
839813	7530	7184
844371	7570	7186
850197	7571	7196
854978	7572	7232
855652	7582	7235
863007	7607	7236
864437	7610	7239
865824	7646	7240
868562	7662	7240
871694	7663	7243
872391	7681	7257
872605	7693	7267
874481	7719	7267
875389	7725	7270
880356	7735	7281
880498	7738	7327
882030	7750	7333
882785	7772	7368
883683	7795	7368
883768	7818	7395
884270	7821	7400
885463	7822	7405
887016	7827	7410
891469	7866	7412
892712	7867	7416
892793	7873	7419
895502	7906	7451
901451	7920	7452
905039	7932	7460
905841	7982	7486
905965	7993	7495
907192	8004	7516
908024	8012	7553
910373	8021	7595
912226	8028	7605
913734	8030	7614
913876	8063	7679
915785	8065	7682
918700	8073	7686
918867	8074	7720
921363	8074	7721
921439	8075	7742
921987	8099	7742
922445	8109	7756
929400	8122	7763
933481	8127	7781
936063	8149	7806
940590	8153	7808
943166	8153	7808
945638	8176	7808
947145	8194	7816
949541	8206	7832
952448	8207	7845
954416	8225	7845
955184	8246	7870
956830	8253	7872
959488	8258	7880
961489	8277	7880
962477	8278	7895
963225	8282	7897
973356	8301	7905
974734	8306	7919
975364	8320	7964
975643	8326	7995
981315	8362	8000
981443	8365	8008
981942	8386	8034
983180	8393	8034
985195	8397	8037
985470	8397	8041
986080	8412	8041
989276	8432	8041
989791	8435	8048
990356	8446	8062
992200	8448	8067
993800	8471	8073
998635	8493	8077
1006008	8505	8118
1009682	8506	8127
1012592	8512	8138
1014684	8512	8173
1021206	8533	8218
1022779	8545	8224
1026750	8548	8228
1027089	8570	8228
1034479	8581	8265
1038560	8581	8270
1041988	8586	8271
1042931	8587	8284
1044891	8599	8339
1046156	8599	8339
1047023	8614	8356
1047083	8623	8386
1047908	8635	8419
1049266	8646	8424
1052250	8667	8433
1056470	8677	8433
1056654	8690	8449
1059719	8693	8449
1061940	8707	8451
1062122	8724	8472
1063346	8728	8480
1066964	8736	8518
1067056	8743	8525
1069431	8747	8543
1069665	8748	8543
1071153	8754	8551
1071518	8760	8557
1071810	8765	8559
1073096	8766	8560
1078850	8778	8566
1080977	8793	8570
1081713	8798	8570
1085432	8806	8590
1095341	8814	8592
1096404	8823	8599
1097007	8825	8608
1097063	8829	8609
1097492	8831	8612
1098468	8840	8612
1104263	8841	8615
1104629	8841	8634
1107613	8843	8637
1115557	8877	8637
1115946	8888	8664
1118384	8892	8709
1127909	8905	8715
1130520	8928	8721
1132937	8936	8747
1137020	8944	8753
1145733	8950	8754
1145941	8961	8754
1145972	8970	8761
1147548	8977	8789
1147896	8983	8806
1153120	9003	8874
1153570	9005	8895
1154883	9023	8899
1160714	9027	8936
1168305	9042	8961
1170038	9050	8986
1171745	9081	8986
1174631	9091	8987
1178938	9104	9033
1181256	9141	9106
1183770	9147	9115
1186674	9189	9121
1192760	9218	9127
1193840	9229	9133
1197103	9249	9146
1197145	9249	9148
1198016	9272	9158
1199898	9277	9201
1203699	9277	9201
1208142	9300	9221
1221222	9313	9230
1221645	9316	9231
1223497	9318	9271
1227082	9322	9279
1230338	9324	9293
1240107	9341	9334
1240261	9354	9335
1242754	9366	9338
1246230	9368	9353
1248049	9382	9357
1250139	9393	9380
1251299	9396	9386
1254476	9403	9419
1257066	9416	9441
1257252	9459	9450
1261732	9464	9450
1267360	9482	9456
1268701	9517	9479
1271678	9519	9497
1272395	9522	9497
1275165	9543	9499
1276080	9552	9501
1277328	9563	9505
1280958	9573	9511
1284976	9610	9516
1285709	9633	9538
1286450	9646	9544
1290380	9647	9552
1292984	9662	9553
1298993	9668	9553
1302588	9672	9563
1304115	9692	9581
1308502	9694	9604
1308883	9704	9622
1312172	9719	9636
1314065	9720	9638
1325401	9725	9650
1329127	9738	9654
1336461	9767	9663
1337563	9795	9666
1354419	9800	9707
1354707	9801	9734
1354997	9828	9758
1356280	9851	9763
1363893	9856	9779
1365319	9857	9785
1369863	9859	9785
1371113	9862	9815
1372044	9870	9817
1374142	9870	9817
1374730	9878	9818
1375674	9887	9818
1377066	9890	9819
1381237	9906	9828
1387958	9906	9831
1388377	9935	9861
1395752	9936	9880
